station_id,name,lat,lon,precip_mm_2025
US1OHER0063,SANDUSKY 1.3 SSW,41.4397,-82.7277,933.8
US1OHFF0024,CANAL WINCHESTER 1.7 ENE,39.8591,-82.793,1105.3
US1OHFF0026,PICKERINGTON 3.5 ENE,39.915,-82.7103,1107.2
US1OHFF0029,PICKERINGTON 2.4 N,39.9253,-82.7674,1118.7
US1OHFF0030,PLEASANTVILLE 2.9 WSW,39.8004,-82.577,1127.0
US1OHFF0043,CARROLL 1.9 WNW,39.8104,-82.7355,1146.1
US1OHFF0059,LANCASTER 3.3 N,39.7697,-82.6069,1233.8
US1OHFL0013,SWANTON 4.0 S,41.5272,-83.9067,785.4
US1OHFL0016,ARCHBOLD 4.7 NW,41.5678,-84.3611,910.1
US1OHFL0023,DELTA 0.4 ENE,41.5765,-83.9948,701.7
US1OHFR0002,DUBLIN 3.2 ENE,40.1299,-83.0742,1007.0
US1OHFR0003,GRANDVIEW HEIGHTS 0.1 N,39.981,-83.0401,914.9
US1OHFR0008,NEW ALBANY 2.8 SSE,40.0403,-82.798,1066.2
US1OHFR0046,COLUMBUS 8.2 NE,40.0639,-82.8673,893.0
US1OHFR0051,COLUMBUS 3.7 NW,40.021,-83.0427,706.7
US1OHFR0059,NEW ROME 2.2 NW,39.976,-83.1667,978.4
US1OHFR0075,COLUMBUS 5.0 NNW,40.0596,-83.0099,880.4
US1OHFR0111,GROVE CITY 1.9 SSE,39.8479,-83.0608,1013.7
US1OHFR0127,BEXLEY 1.0 N,39.9788,-82.9355,895.3
US1OHFR0129,COLUMBUS 3.7 ESE,39.968,-82.9232,942.1
US1OHFR0158,HILLIARD 2.4 SW,40.0177,-83.1803,1017.7
US1OHFR0159,WORTHINGTON 1.3 SW,40.0847,-83.0381,899.5
US1OHFR0160,GALLOWAY 4.3 W,39.9152,-83.2431,1055.0
US1OHFR0172,DUBLIN 3.4 E,40.1242,-83.0691,898.6
US1OHFR0175,HILLIARD 1.6 ENE,40.0497,-83.1171,895.2
US1OHFY0005,WASHINGTON 3.9 ESE,39.5101,-83.367,1252.7
US1OHFY0008,WASHINGTON COURT HOUSE 0.6 ESE,39.5328,-83.4272,1236.5
US1OHGG0004,MONTVILLE 1.2 SSE,41.5903,-81.048,1208.2
US1OHGG0007,MIDDLEFIELD 0.6 NE,41.4644,-81.0652,1411.7
US1OHGG0011,MADISON 4.2 S,41.7124,-81.0387,1207.0
US1OHGG0021,AUBURN CORNERS 3.0 WSW,41.3627,-81.2699,1356.1
US1OHGR0013,XENIA 2.1 NNE,39.7117,-83.9235,1177.9
US1OHGR0015,BEAVERCREEK 1.5 ENE,39.7353,-84.0355,1166.2
US1OHGR0019,YELLOW SPRINGS 2.5 ENE,39.8133,-83.8511,1055.8
US1OHGR0020,BEAVERCREEK 2.0 NE,39.7486,-84.0341,1059.7
US1OHGR0026,XENIA 2.8 SW,39.6595,-83.9805,1189.7
US1OHGR0037,FAIRBORN 2.0 SW,39.781,-84.0386,1274.1
US1OHGR0044,BEAVERCREEK 2.5 NNW,39.7637,-84.0742,1231.1
US1OHGR0045,BEAVERCREEK 0.9 SW,39.7205,-84.0744,962.6
US1OHGY0014,CAMBRIDGE 1.8 E,40.0295,-81.5537,845.1
US1OHHC0010,JENERA 1.6 SE,40.8816,-83.709,800.5
US1OHHC0012,FINDLAY 0.4 WSW,41.0401,-83.6492,734.1
US1OHHC0021,FINDLAY 1.0 SSW,41.0312,-83.6515,775.7
US1OHHD0014,ADA 5.4 NE,40.8131,-83.7383,718.4
US1OHHG0008,BAINBRIDGE 5.7 WSW,39.203,-83.3727,1209.4
US1OHHG0012,GREENFIELD 3.6 SW,39.3115,-83.4267,1027.1
US1OHHM0003,WYOMING 1.2 NW,39.2407,-84.4995,1253.3
US1OHHM0013,CINCINNATI 8.9 NW,39.25,-84.579,1211.6
US1OHHM0037,CHERRY GROVE 0.4 NW,39.084,-84.328,1397.6
US1OHHM0056,CINCINNATI 7.4 NNW,39.2068,-84.546,1252.9
US1OHHM0064,CINCINNATI 7.5 E,39.0808,-84.3752,903.1
US1OHHM0069,SHERWOOD 1.3 SSW,39.0672,-84.3711,1255.5
US1OHHM0075,CLEVES 0.7 NNE,39.1715,-84.7446,1184.6
US1OHHM0080,WYOMING 0.5 WNW,39.2323,-84.4908,1227.8
US1OHHM0086,MACK SOUTH 0.4 N,39.1478,-84.6727,1217.9
US1OHHM0094,SILVERTON 0.2 NE,39.1912,-84.3982,952.9
US1OHHM0096,NORTHBROOK 1.1 ENE,39.2539,-84.5595,1242.5
US1OHHM0099,DILLONVALE 0.6 WSW,39.2136,-84.4117,1092.2
US1OHHR0002,BELLEVUE 0.6 N,41.2839,-82.8408,1029.5
US1OHHR0010,NORWALK 2.1 SW,41.2231,-82.642,629.4
US1OHHY0007,NAPOLEON 0.6 WSW,41.391,-84.1378,733.8
US1OHHY0009,NAPOLEON 4.5 NNW,41.457,-84.1496,781.2
US1OHHY0014,NAPOLEON 1.2 SSE,41.3795,-84.116,842.6
US1OHJC0004,OAK HILL 0.6 SSW,38.8881,-82.5742,1010.6
US1OHJF0009,MOUNT PLEASANT 1.4 WSW,40.165,-80.8229,952.3
US1OHJF0011,WINTERSVILLE 0.7 WNW,40.3843,-80.7176,549.6
US1OHKN0004,FREDERICKTOWN 4.0 NNW,40.5355,-82.5628,1114.6
US1OHKN0007,MOUNT VERNON 0.2 WNW,40.3921,-82.4788,990.5
US1OHKN0009,FREDERICKTOWN 2.8 NE,40.5049,-82.5053,1093.1
US1OHLC0010,GRANVILLE 4.0 N,40.1282,-82.5158,1053.7
US1OHLC0014,GRANVILLE 5.6 N,40.1542,-82.5101,1087.0
US1OHLC0022,PATASKALA 3.2 E,39.998,-82.6136,1037.9
US1OHLC0028,NEWARK 9.9 ENE,40.1449,-82.2664,1014.4
US1OHLC0029,PATASKALA 0.2 E,40.0008,-82.6696,1124.1
